RepairID,PC_ID,UserComplaint,Symptoms,ProblemDetected,ConfirmedDiagnosis,RootCause,TreatmentTaken,RepairStatus,TechnicianNotes,ResolutionVerified
REP-00312,DRDO-PC-0002,User reports: Storage device disconnects intermittently during recent operation.,Intermittent storage disconnect,Disk Failure,Intermittent storage availability,Intermittent connector or device fault,Checked connector and replaced intermittent storage device,Completed,Diagnosis confirmed through targeted checks. Checked connector and replaced intermittent storage device,Yes
REP-00723,DRDO-PC-0011,Observed issue: Computer sometimes fails to start on the first attempt and requests diagnosis.,Intermittent startup failure,Power Issue,Intermittent startup power fault,Intermittent PSU startup behavior,Diagnosed startup rail behavior and replaced unstable power supply,Completed,Diagnosis confirmed through targeted checks. Diagnosed startup rail behavior and replaced unstable power supply,Yes
REP-00630,DRDO-PC-0086,User reports: Machine powers down during stress testing,Shutdown during stress load,Power Issue,Power failure under sustained stress,PSU protection triggered under load,Replaced PSU triggering protection under stress,Completed,Diagnosis confirmed through targeted checks. Replaced PSU triggering protection under stress,Yes
REP-00001,DRDO-PC-0030,PC becomes extremely hot during heavy workloads,Sustained high CPU temperature; thermal throttling,Overheating,CPU cooling efficiency degraded,Dried thermal interface material,Replaced thermal paste and verified load temperatures,Completed,Diagnosis confirmed through targeted checks. Replaced thermal paste and verified load temperatures,Yes
REP-00317,DRDO-PC-0013,User reports: Drive health warning appears after startup during recent operation.,Drive-health alert; degraded SMART status,Disk Failure,Drive health degradation,Wear-related storage degradation,Performed backup and replaced drive with degraded health indicators,Completed,Diagnosis confirmed through targeted checks. Performed backup and replaced drive with degraded health indicators,Yes
REP-00707,DRDO-PC-0019,User reports: System loses power intermittently during recent operation.,Intermittent complete power loss,Power Issue,Intermittent PSU or connection fault,Loose connector or failing PSU,Reseated connectors and replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Reseated connectors and replaced intermittent PSU,Yes
REP-00548,DRDO-PC-0094,Maintenance note: System starts normally but becomes sluggish over time and requests diagnosis.,Time-dependent slowdown; increasing memory pressure,Memory Leak,Time-dependent memory leak,Resource cleanup defect,Corrected resource cleanup path and tested prolonged runtime,Completed,Diagnosis confirmed through targeted checks. Corrected resource cleanup path and tested prolonged runtime,Yes
REP-00873,DRDO-PC-0102,Maintenance note: System is responsive and no faults are reported.,Normal responsiveness; no error events,No Problem,No fault condition reproduced,No reproducible issue,Ran diagnostics and confirmed no fault,Completed,Diagnosis confirmed through targeted checks. Ran diagnostics and confirmed no fault,Yes
REP-00533,DRDO-PC-0036,Observed issue: Long-running process causes gradual memory exhaustion and requests diagnosis.,Long-running process retains memory,Memory Leak,Long-lived process allocation leak,Long-lived object retention,Updated long-running process and performed endurance test,Completed,Diagnosis confirmed through targeted checks. Updated long-running process and performed endurance test,Yes
REP-00478,DRDO-PC-0043,Maintenance note: Application performance degrades as RAM usage grows.,Performance degradation correlated with RAM growth,Memory Leak,RAM growth causing performance degradation,Increasing working set from leak,Applied software fix and verified RAM growth stopped,Completed,Diagnosis confirmed through targeted checks. Applied software fix and verified RAM growth stopped,Yes
REP-00405,DRDO-PC-0046,One application consumes more memory continuously,Single-process memory growth,Memory Leak,Application-specific memory leak,Application allocation growth,Updated or reconfigured affected application and monitored working set,Completed,Diagnosis confirmed through targeted checks. Updated or reconfigured affected application and monitored working set,Yes
REP-00173,DRDO-PC-0028,Machine overheats during rendering tasks,Extreme load temperature; throttling,Overheating,Cooling capacity insufficient for sustained load,Heatsink fin contamination,Deep-cleaned heatsink and fan assembly,Completed,Diagnosis confirmed through targeted checks. Deep-cleaned heatsink and fan assembly,Yes
REP-00126,DRDO-PC-0036,Observed issue: The case feels very hot and performance drops and requests diagnosis.,Hot exhaust air; CPU throttling,Overheating,Heat rejection performance degraded,Dust accumulation on heatsink fins,Cleaned heatsink fins and verified temperature reduction,Completed,Diagnosis confirmed through targeted checks. Cleaned heatsink fins and verified temperature reduction,Yes
REP-00395,DRDO-PC-0087,User reports: Disk usage stays at 100 percent with very low throughput,Sustained 100 percent disk activity; low throughput,Disk Failure,Storage saturation with abnormal throughput,Drive firmware or media degradation,Diagnosed active-time saturation and replaced failing storage when hardware fault confirmed,Completed,Diagnosis confirmed through targeted checks. Diagnosed active-time saturation and replaced failing storage when hardware fault confirmed,Yes
REP-00421,DRDO-PC-0039,User reports: RAM usage keeps increasing the longer the PC runs,Monotonic RAM growth; no release after workload,Memory Leak,Probable software memory leak,Application fails to release allocated memory,"Identified leaking process, updated software, and verified stable RAM usage",Completed,"Diagnosis confirmed through targeted checks. Identified leaking process, updated software, and verified stable RAM usage",Yes
REP-00553,DRDO-PC-0040,Maintenance note: Long-running process causes gradual memory exhaustion and requests diagnosis.,Long-running process retains memory,Memory Leak,Long-lived process allocation leak,Long-lived object retention,Updated long-running process and performed endurance test,Completed,Diagnosis confirmed through targeted checks. Updated long-running process and performed endurance test,Yes
REP-00904,DRDO-PC-0053,User reports: No fault reported; requesting standard diagnostics during recent operation.,Normal operation; diagnostics requested,No Problem,No reproducible hardware issue,No underlying fault identified,Ran standard diagnostics; no corrective action required,Completed,Diagnosis confirmed through targeted checks. Ran standard diagnostics; no corrective action required,Yes
REP-00091,DRDO-PC-0102,Frequent thermal warnings during long workloads during recent operation.,Repeated thermal alerts; sustained high temperature,Overheating,Recurring processor thermal excursion,Intermittent fan performance,Replaced intermittent fan module,Completed,Diagnosis confirmed through targeted checks. Replaced intermittent fan module,Yes
REP-00940,DRDO-PC-0054,Observed issue: Standard periodic health audit requested and requests diagnosis.,No active issue during periodic audit,No Problem,Periodic health audit passed,Routine periodic audit,Completed periodic audit and retained normal monitoring,Completed,Diagnosis confirmed through targeted checks. Completed periodic audit and retained normal monitoring,Yes
REP-00182,DRDO-PC-0009,User reports: System heats up quickly even with moderate usage,Rapid temperature rise; hot chassis,Overheating,Restricted chassis airflow,Dust-blocked intake and exhaust vents,"Cleaned intake vents, exhaust vents, and internal airflow path",Completed,"Diagnosis confirmed through targeted checks. Cleaned intake vents, exhaust vents, and internal airflow path",Yes
